customer_id,gross_revenue,recency_days,qty_invoices,qty_prod_purchased,range_of_products,avg_ticket,frequency,qty_returns,avg_qty_products_purchased,week_day,month,recency_score,frequency_score,monetary_score,rfm_score,cluster
17850,4046.51,372,34,1191,204,19.835833333333333,17.0,37.0,35.029411764705884,2.0,11.0,1,5,5,155,cant_lose
13047,2392.96,31,10,1159,130,18.407384615384615,0.029154518950437316,36.0,115.9,1.0,11.0,4,2,5,425,new_customers
12583,6507.44,2,15,4854,225,28.921955555555552,0.04032258064516129,51.0,323.6,1.0,11.0,5,3,5,535,potential_loyalists
13748,948.25,95,5,439,28,33.86607142857143,0.017921146953405017,0.0,87.8,2.0,4.0,2,2,4,224,hibernating
15291,4396.0,25,15,1949,96,45.791666666666664,0.04297994269340974,29.0,129.93333333333334,6.0,3.0,4,3,5,435,potential_loyalists
14688,3689.89,7,20,2246,248,14.87858870967742,0.05449591280653951,399.0,112.3,0.0,2.0,5,3,5,535,potential_loyalists
17809,5345.91,16,12,2017,60,89.0985,0.0335195530726257,42.0,168.08333333333334,3.0,11.0,4,3,5,435,potential_loyalists
15311,39014.08,0,90,25032,2135,18.273573770491804,0.24064171122994651,474.0,278.1333333333333,3.0,1.0,5,4,5,545,champions
16098,2005.63,87,7,613,67,29.934776119402986,0.024390243902439025,0.0,87.57142857142857,0.0,2.0,2,2,5,225,hibernating
18074,489.6,373,1,190,13,37.66153846153846,1.0,0.0,190.0,1.0,11.0,1,4,3,143,about_to_sleep
17420,598.83,50,3,265,30,19.961000000000002,0.009259259259259259,0.0,88.33333333333333,0.0,6.0,3,1,3,313,hibernating
16029,34195.61,38,48,19743,147,232.62319727891156,0.14285714285714285,6476.0,411.3125,1.0,9.0,3,4,5,345,need_attention
16250,389.44,261,2,208,24,16.226666666666667,0.017699115044247787,0.0,104.0,1.0,3.0,1,2,2,122,about_to_sleep
12431,6208.1900000000005,35,15,2797,227,27.34885462555066,0.04424778761061947,50.0,186.46666666666667,2.0,7.0,3,3,5,335,need_attention
17511,64646.58,2,30,49719,764,84.61594240837697,0.08064516129032258,1537.0,1657.3,1.0,12.0,5,3,5,535,potential_loyalists
13705,711.86,7,3,363,28,25.423571428571428,0.008174386920980926,0.0,121.0,1.0,11.0,5,1,3,513,new_customers
13747,79.6,373,1,8,1,79.6,1.0,0.0,8.0,1.0,11.0,1,4,1,141,about_to_sleep
13408,26932.22,1,61,15806,455,59.19169230769231,0.16353887399463807,113.0,259.11475409836066,1.0,11.0,5,4,5,545,champions
13767,10920.11,2,33,5375,174,62.75925287356322,0.08870967741935484,64.0,162.87878787878788,6.0,4.0,5,3,5,535,potential_loyalists
17924,2437.8,11,6,1046,27,90.28888888888889,0.01652892561983471,19.0,174.33333333333334,6.0,10.0,5,1,5,515,new_customers
13448,3331.7400000000002,16,6,1581,186,17.91258064516129,0.01675977653631285,22.0,263.5,1.0,11.0,4,1,5,415,new_customers
15862,832.88,8,4,585,147,5.665850340136054,0.01092896174863388,0.0,146.25,2.0,11.0,5,1,3,513,new_customers
15513,13955.48,33,19,5391,296,47.14689189189189,0.05571847507331378,164.0,283.7368421052632,2.0,5.0,3,3,5,335,need_attention
12791,177.60000000000002,373,1,96,1,177.60000000000002,1.0,0.0,96.0,1.0,11.0,1,4,1,141,about_to_sleep
16218,2691.72,29,7,1928,75,35.889599999999994,0.020289855072463767,11.0,275.42857142857144,1.0,5.0,4,2,5,425,new_customers
14045,1659.75,109,4,535,6,276.625,0.01509433962264151,0.0,133.75,2.0,1.0,2,1,4,214,hibernating
14307,2995.72,88,6,2058,180,16.642888888888887,0.02097902097902098,0.0,343.0,1.0,9.0,2,2,5,225,hibernating
17908,232.03,373,1,169,54,4.2968518518518515,1.0,0.0,169.0,1.0,11.0,1,4,1,141,about_to_sleep
17920,4119.5,4,17,2473,665,6.1947368421052635,0.04594594594594595,0.0,145.47058823529412,3.0,11.0,5,3,5,535,potential_loyalists
12838,671.95,33,2,355,120,5.599583333333333,0.005865102639296188,0.0,177.5,1.0,11.0,3,1,3,313,hibernating
